facility_id,facility_name,address_line_1,address_line_2,city,state_code,postal_code,country,latitude,longitude,sqft,year_built,occupancy_status,property_type,owner_name,manager_name,contact_phone,contact_email,lease_start_date,lease_end_date,monthly_rent,security_deposit,tax_id,gl_account,cost_center,region_code,district_code,market_area,building_class,floor_count,unit_count,parking_spaces,hvac_type,roof_type,sprinkler_system,fire_alarm,elevator_count,accessibility_compliant,energy_star_rating,last_inspection_date,next_inspection_date,insurance_carrier,policy_number,premium_amount,coverage_start,coverage_end,vendor_id,contract_number,service_type,billing_frequency,payment_terms,currency_code,exchange_rate,created_date,modified_date,created_by,modified_by,is_active,status_reason,notes,external_ref_id,legacy_system_id,import_batch_id,data_source_system,record_version,effective_date,expiration_date,approval_status,approved_by,approved_date,rejection_reason,workflow_state,priority_level,risk_score,compliance_flag,audit_trail_id,internal_row_id,etl_load_timestamp,source_system_code,raw_json_payload,checksum_hash,partition_key,shard_id
facility_id_10,facility_name_10,address_line_1_10,address_line_2_10,city_10,state_code_10,postal_code_10,country_10,latitude_10,longitude_10,sqft_10,year_built_10,occupancy_status_10,property_type_10,owner_name_10,manager_name_10,contact_phone_10,contact_email_10,lease_start_date_10,lease_end_date_10,monthly_rent_10,security_deposit_10,tax_id_10,gl_account_10,cost_center_10,region_code_10,district_code_10,market_area_10,building_class_10,floor_count_10,unit_count_10,parking_spaces_10,hvac_type_10,roof_type_10,sprinkler_system_10,fire_alarm_10,elevator_count_10,accessibility_compliant_10,energy_star_rating_10,last_inspection_date_10,next_inspection_date_10,insurance_carrier_10,policy_number_10,premium_amount_10,coverage_start_10,coverage_end_10,vendor_id_10,contract_number_10,service_type_10,billing_frequency_10,payment_terms_10,currency_code_10,exchange_rate_10,created_date_10,modified_date_10,created_by_10,modified_by_10,is_active_10,status_reason_10,notes_10,external_ref_id_10,legacy_system_id_10,import_batch_id_10,data_source_system_10,record_version_10,effective_date_10,expiration_date_10,approval_status_10,approved_by_10,approved_date_10,rejection_reason_10,workflow_state_10,priority_level_10,risk_score_10,compliance_flag_10,audit_trail_id_10,internal_row_id_10,etl_load_timestamp_10,source_system_code_10,raw_json_payload_10,checksum_hash_10,partition_key_10,shard_id_10
facility_id_11,facility_name_11,address_line_1_11,address_line_2_11,city_11,state_code_11,postal_code_11,country_11,latitude_11,longitude_11,sqft_11,year_built_11,occupancy_status_11,property_type_11,owner_name_11,manager_name_11,contact_phone_11,contact_email_11,lease_start_date_11,lease_end_date_11,monthly_rent_11,security_deposit_11,tax_id_11,gl_account_11,cost_center_11,region_code_11,district_code_11,market_area_11,building_class_11,floor_count_11,unit_count_11,parking_spaces_11,hvac_type_11,roof_type_11,sprinkler_system_11,fire_alarm_11,elevator_count_11,accessibility_compliant_11,energy_star_rating_11,last_inspection_date_11,next_inspection_date_11,insurance_carrier_11,policy_number_11,premium_amount_11,coverage_start_11,coverage_end_11,vendor_id_11,contract_number_11,service_type_11,billing_frequency_11,payment_terms_11,currency_code_11,exchange_rate_11,created_date_11,modified_date_11,created_by_11,modified_by_11,is_active_11,status_reason_11,notes_11,external_ref_id_11,legacy_system_id_11,import_batch_id_11,data_source_system_11,record_version_11,effective_date_11,expiration_date_11,approval_status_11,approved_by_11,approved_date_11,rejection_reason_11,workflow_state_11,priority_level_11,risk_score_11,compliance_flag_11,audit_trail_id_11,internal_row_id_11,etl_load_timestamp_11,source_system_code_11,raw_json_payload_11,checksum_hash_11,partition_key_11,shard_id_11
facility_id_12,facility_name_12,address_line_1_12,address_line_2_12,city_12,state_code_12,postal_code_12,country_12,latitude_12,longitude_12,sqft_12,year_built_12,occupancy_status_12,property_type_12,owner_name_12,manager_name_12,contact_phone_12,contact_email_12,lease_start_date_12,lease_end_date_12,monthly_rent_12,security_deposit_12,tax_id_12,gl_account_12,cost_center_12,region_code_12,district_code_12,market_area_12,building_class_12,floor_count_12,unit_count_12,parking_spaces_12,hvac_type_12,roof_type_12,sprinkler_system_12,fire_alarm_12,elevator_count_12,accessibility_compliant_12,energy_star_rating_12,last_inspection_date_12,next_inspection_date_12,insurance_carrier_12,policy_number_12,premium_amount_12,coverage_start_12,coverage_end_12,vendor_id_12,contract_number_12,service_type_12,billing_frequency_12,payment_terms_12,currency_code_12,exchange_rate_12,created_date_12,modified_date_12,created_by_12,modified_by_12,is_active_12,status_reason_12,notes_12,external_ref_id_12,legacy_system_id_12,import_batch_id_12,data_source_system_12,record_version_12,effective_date_12,expiration_date_12,approval_status_12,approved_by_12,approved_date_12,rejection_reason_12,workflow_state_12,priority_level_12,risk_score_12,compliance_flag_12,audit_trail_id_12,internal_row_id_12,etl_load_timestamp_12,source_system_code_12,raw_json_payload_12,checksum_hash_12,partition_key_12,shard_id_12
facility_id_13,facility_name_13,address_line_1_13,address_line_2_13,city_13,state_code_13,postal_code_13,country_13,latitude_13,longitude_13,sqft_13,year_built_13,occupancy_status_13,property_type_13,owner_name_13,manager_name_13,contact_phone_13,contact_email_13,lease_start_date_13,lease_end_date_13,monthly_rent_13,security_deposit_13,tax_id_13,gl_account_13,cost_center_13,region_code_13,district_code_13,market_area_13,building_class_13,floor_count_13,unit_count_13,parking_spaces_13,hvac_type_13,roof_type_13,sprinkler_system_13,fire_alarm_13,elevator_count_13,accessibility_compliant_13,energy_star_rating_13,last_inspection_date_13,next_inspection_date_13,insurance_carrier_13,policy_number_13,premium_amount_13,coverage_start_13,coverage_end_13,vendor_id_13,contract_number_13,service_type_13,billing_frequency_13,payment_terms_13,currency_code_13,exchange_rate_13,created_date_13,modified_date_13,created_by_13,modified_by_13,is_active_13,status_reason_13,notes_13,external_ref_id_13,legacy_system_id_13,import_batch_id_13,data_source_system_13,record_version_13,effective_date_13,expiration_date_13,approval_status_13,approved_by_13,approved_date_13,rejection_reason_13,workflow_state_13,priority_level_13,risk_score_13,compliance_flag_13,audit_trail_id_13,internal_row_id_13,etl_load_timestamp_13,source_system_code_13,raw_json_payload_13,checksum_hash_13,partition_key_13,shard_id_13
facility_id_14,facility_name_14,address_line_1_14,address_line_2_14,city_14,state_code_14,postal_code_14,country_14,latitude_14,longitude_14,sqft_14,year_built_14,occupancy_status_14,property_type_14,owner_name_14,manager_name_14,contact_phone_14,contact_email_14,lease_start_date_14,lease_end_date_14,monthly_rent_14,security_deposit_14,tax_id_14,gl_account_14,cost_center_14,region_code_14,district_code_14,market_area_14,building_class_14,floor_count_14,unit_count_14,parking_spaces_14,hvac_type_14,roof_type_14,sprinkler_system_14,fire_alarm_14,elevator_count_14,accessibility_compliant_14,energy_star_rating_14,last_inspection_date_14,next_inspection_date_14,insurance_carrier_14,policy_number_14,premium_amount_14,coverage_start_14,coverage_end_14,vendor_id_14,contract_number_14,service_type_14,billing_frequency_14,payment_terms_14,currency_code_14,exchange_rate_14,created_date_14,modified_date_14,created_by_14,modified_by_14,is_active_14,status_reason_14,notes_14,external_ref_id_14,legacy_system_id_14,import_batch_id_14,data_source_system_14,record_version_14,effective_date_14,expiration_date_14,approval_status_14,approved_by_14,approved_date_14,rejection_reason_14,workflow_state_14,priority_level_14,risk_score_14,compliance_flag_14,audit_trail_id_14,internal_row_id_14,etl_load_timestamp_14,source_system_code_14,raw_json_payload_14,checksum_hash_14,partition_key_14,shard_id_14
facility_id_15,facility_name_15,address_line_1_15,address_line_2_15,city_15,state_code_15,postal_code_15,country_15,latitude_15,longitude_15,sqft_15,year_built_15,occupancy_status_15,property_type_15,owner_name_15,manager_name_15,contact_phone_15,contact_email_15,lease_start_date_15,lease_end_date_15,monthly_rent_15,security_deposit_15,tax_id_15,gl_account_15,cost_center_15,region_code_15,district_code_15,market_area_15,building_class_15,floor_count_15,unit_count_15,parking_spaces_15,hvac_type_15,roof_type_15,sprinkler_system_15,fire_alarm_15,elevator_count_15,accessibility_compliant_15,energy_star_rating_15,last_inspection_date_15,next_inspection_date_15,insurance_carrier_15,policy_number_15,premium_amount_15,coverage_start_15,coverage_end_15,vendor_id_15,contract_number_15,service_type_15,billing_frequency_15,payment_terms_15,currency_code_15,exchange_rate_15,created_date_15,modified_date_15,created_by_15,modified_by_15,is_active_15,status_reason_15,notes_15,external_ref_id_15,legacy_system_id_15,import_batch_id_15,data_source_system_15,record_version_15,effective_date_15,expiration_date_15,approval_status_15,approved_by_15,approved_date_15,rejection_reason_15,workflow_state_15,priority_level_15,risk_score_15,compliance_flag_15,audit_trail_id_15,internal_row_id_15,etl_load_timestamp_15,source_system_code_15,raw_json_payload_15,checksum_hash_15,partition_key_15,shard_id_15
facility_id_16,facility_name_16,address_line_1_16,address_line_2_16,city_16,state_code_16,postal_code_16,country_16,latitude_16,longitude_16,sqft_16,year_built_16,occupancy_status_16,property_type_16,owner_name_16,manager_name_16,contact_phone_16,contact_email_16,lease_start_date_16,lease_end_date_16,monthly_rent_16,security_deposit_16,tax_id_16,gl_account_16,cost_center_16,region_code_16,district_code_16,market_area_16,building_class_16,floor_count_16,unit_count_16,parking_spaces_16,hvac_type_16,roof_type_16,sprinkler_system_16,fire_alarm_16,elevator_count_16,accessibility_compliant_16,energy_star_rating_16,last_inspection_date_16,next_inspection_date_16,insurance_carrier_16,policy_number_16,premium_amount_16,coverage_start_16,coverage_end_16,vendor_id_16,contract_number_16,service_type_16,billing_frequency_16,payment_terms_16,currency_code_16,exchange_rate_16,created_date_16,modified_date_16,created_by_16,modified_by_16,is_active_16,status_reason_16,notes_16,external_ref_id_16,legacy_system_id_16,import_batch_id_16,data_source_system_16,record_version_16,effective_date_16,expiration_date_16,approval_status_16,approved_by_16,approved_date_16,rejection_reason_16,workflow_state_16,priority_level_16,risk_score_16,compliance_flag_16,audit_trail_id_16,internal_row_id_16,etl_load_timestamp_16,source_system_code_16,raw_json_payload_16,checksum_hash_16,partition_key_16,shard_id_16
facility_id_17,facility_name_17,address_line_1_17,address_line_2_17,city_17,state_code_17,postal_code_17,country_17,latitude_17,longitude_17,sqft_17,year_built_17,occupancy_status_17,property_type_17,owner_name_17,manager_name_17,contact_phone_17,contact_email_17,lease_start_date_17,lease_end_date_17,monthly_rent_17,security_deposit_17,tax_id_17,gl_account_17,cost_center_17,region_code_17,district_code_17,market_area_17,building_class_17,floor_count_17,unit_count_17,parking_spaces_17,hvac_type_17,roof_type_17,sprinkler_system_17,fire_alarm_17,elevator_count_17,accessibility_compliant_17,energy_star_rating_17,last_inspection_date_17,next_inspection_date_17,insurance_carrier_17,policy_number_17,premium_amount_17,coverage_start_17,coverage_end_17,vendor_id_17,contract_number_17,service_type_17,billing_frequency_17,payment_terms_17,currency_code_17,exchange_rate_17,created_date_17,modified_date_17,created_by_17,modified_by_17,is_active_17,status_reason_17,notes_17,external_ref_id_17,legacy_system_id_17,import_batch_id_17,data_source_system_17,record_version_17,effective_date_17,expiration_date_17,approval_status_17,approved_by_17,approved_date_17,rejection_reason_17,workflow_state_17,priority_level_17,risk_score_17,compliance_flag_17,audit_trail_id_17,internal_row_id_17,etl_load_timestamp_17,source_system_code_17,raw_json_payload_17,checksum_hash_17,partition_key_17,shard_id_17
facility_id_18,facility_name_18,address_line_1_18,address_line_2_18,city_18,state_code_18,postal_code_18,country_18,latitude_18,longitude_18,sqft_18,year_built_18,occupancy_status_18,property_type_18,owner_name_18,manager_name_18,contact_phone_18,contact_email_18,lease_start_date_18,lease_end_date_18,monthly_rent_18,security_deposit_18,tax_id_18,gl_account_18,cost_center_18,region_code_18,district_code_18,market_area_18,building_class_18,floor_count_18,unit_count_18,parking_spaces_18,hvac_type_18,roof_type_18,sprinkler_system_18,fire_alarm_18,elevator_count_18,accessibility_compliant_18,energy_star_rating_18,last_inspection_date_18,next_inspection_date_18,insurance_carrier_18,policy_number_18,premium_amount_18,coverage_start_18,coverage_end_18,vendor_id_18,contract_number_18,service_type_18,billing_frequency_18,payment_terms_18,currency_code_18,exchange_rate_18,created_date_18,modified_date_18,created_by_18,modified_by_18,is_active_18,status_reason_18,notes_18,external_ref_id_18,legacy_system_id_18,import_batch_id_18,data_source_system_18,record_version_18,effective_date_18,expiration_date_18,approval_status_18,approved_by_18,approved_date_18,rejection_reason_18,workflow_state_18,priority_level_18,risk_score_18,compliance_flag_18,audit_trail_id_18,internal_row_id_18,etl_load_timestamp_18,source_system_code_18,raw_json_payload_18,checksum_hash_18,partition_key_18,shard_id_18
facility_id_19,facility_name_19,address_line_1_19,address_line_2_19,city_19,state_code_19,postal_code_19,country_19,latitude_19,longitude_19,sqft_19,year_built_19,occupancy_status_19,property_type_19,owner_name_19,manager_name_19,contact_phone_19,contact_email_19,lease_start_date_19,lease_end_date_19,monthly_rent_19,security_deposit_19,tax_id_19,gl_account_19,cost_center_19,region_code_19,district_code_19,market_area_19,building_class_19,floor_count_19,unit_count_19,parking_spaces_19,hvac_type_19,roof_type_19,sprinkler_system_19,fire_alarm_19,elevator_count_19,accessibility_compliant_19,energy_star_rating_19,last_inspection_date_19,next_inspection_date_19,insurance_carrier_19,policy_number_19,premium_amount_19,coverage_start_19,coverage_end_19,vendor_id_19,contract_number_19,service_type_19,billing_frequency_19,payment_terms_19,currency_code_19,exchange_rate_19,created_date_19,modified_date_19,created_by_19,modified_by_19,is_active_19,status_reason_19,notes_19,external_ref_id_19,legacy_system_id_19,import_batch_id_19,data_source_system_19,record_version_19,effective_date_19,expiration_date_19,approval_status_19,approved_by_19,approved_date_19,rejection_reason_19,workflow_state_19,priority_level_19,risk_score_19,compliance_flag_19,audit_trail_id_19,internal_row_id_19,etl_load_timestamp_19,source_system_code_19,raw_json_payload_19,checksum_hash_19,partition_key_19,shard_id_19
